"n°UAI de l'établissement";"Libellé de l'établissement";"Région";;;"Taux";"Taux attendu";"Valeur ajoutée";;;
"0300026R";"Lycée général et technologique Dhuoda";"OCCITANIE";"dont élèves en voie pro sco";47;60;53;7;67;70;71
"0300026R";"Lycée général et technologique Dhuoda";"OCCITANIE";"dont apprentis";31;74;77;-2;86;80;85
"0300027S";"Lycée polyvalent Ernest Hemingway";"OCCITANIE";"ensemble";47;45;48;-3;50;50;56
"0300028T";"Lycée professionnel privé Cévenol";"OCCITANIE";"ensemble";69;35;26;9;40;42;52
"0300041G";"Lycée professionnel  Marie Curie, lycée des métiers de l'hôtellerie et de la restauration";"OCCITANIE";"ensemble";42;40;44;-4;64;50;63
"0300047N";"Lycée polyvalent des Métiers d'Arts Charles Gide";"OCCITANIE";"ensemble";60;20;26;-5;41;39;42
"0300047N";"Lycée polyvalent des Métiers d'Arts Charles Gide";"OCCITANIE";"dont élèves en voie pro sco";61;18;24;-6;40;37;41
"0300047N";"Lycée polyvalent des Métiers d'Arts Charles Gide";"OCCITANIE";"dont apprentis";;;;;;;
"0300052U";"Lycée polyvalent André Chamson";"OCCITANIE";"ensemble";57;25;30;-5;25;35;35
"0300057Z";"Lycée professionnel Gaston Darboux";"OCCITANIE";"ensemble";47;20;29;-9;29;28;36
"0300057Z";"Lycée professionnel Gaston Darboux";"OCCITANIE";"dont élèves en voie pro sco";47;20;29;-9;29;28;36
"0300057Z";"Lycée professionnel Gaston Darboux";"OCCITANIE";"dont apprentis";;;;;;;
"0300058A";"Lycée professionnel Frédéric Mistral, lycée des métiers de la construction";"OCCITANIE";"ensemble";56;33;31;2;41;45;50
"0300058A";"Lycée professionnel Frédéric Mistral, lycée des métiers de la construction";"OCCITANIE";"dont élèves en voie pro sco";56;31;28;3;40;43;47
"0300058A";"Lycée professionnel Frédéric Mistral, lycée des métiers de la construction";"OCCITANIE";"dont apprentis";38;;;;;;
"0300077W";"Lycée général et technologique privé Bellevue";"OCCITANIE";"ensemble";11;48;51;-3;48;36;56
"0300080Z";"Lycée polyvalent privé Emmanuel d'Alzon";"OCCITANIE";"ensemble";59;57;47;10;65;60;64
"0300106C";"Lycée professionnel privé Sainte Marie, lycée des métiers de la santé et des procédés de la chimie et de l'eau";"OCCITANIE";"ensemble";52;44;36;8;49;48;54
"0300109F";"Lycée professionnel privé Pasteur";"OCCITANIE";"ensemble";49;31;29;2;41;39;43
"0300112J";"Lycée polyvalent privé de la CCI, lycée des métiers de la vente et des services aux entreprises";"OCCITANIE";"ensemble";47;43;42;0;53;44;57
"0300125Y";"Lycée polyvalent privé de La Salle";"OCCITANIE";"ensemble";58;53;41;12;58;62;70
"0300127A";"Lycée polyvalent privé Saint Vincent de Paul, lycée des métiers des services";"OCCITANIE";"ensemble";37;42;41;1;52;54;61
"0300950V";"Lycée polyvalent Albert Einstein";"OCCITANIE";"ensemble";44;46;45;2;51;52;58
"0300950V";"Lycée polyvalent Albert Einstein";"OCCITANIE";"dont élèves en voie pro sco";47;40;39;1;44;46;51
"0300950V";"Lycée polyvalent Albert Einstein";"OCCITANIE";"dont apprentis";27;75;73;2;84;84;89
"0301210C";"Lycée professionnel Voltaire";"OCCITANIE";"ensemble";45;33;33;0;43;41;49
"0301270T";"Lycée professionnel Jules Raimu, Lycée des métiers de la maintenance, du numérique et de la conduite routière";"OCCITANIE";"ensemble";50;36;35;0;41;45;55
"0301499S";"Lycée polyvalent privé d'Alzon Saint Felix";"OCCITANIE";"ensemble";48;24;34;-9;35;35;43
"0301552Z";"Lycée général et technologique Philippe Lamour";"OCCITANIE";"ensemble";32;;;;;;
"0301654K";"Lycée polyvalent Geneviève de Gaulle-Anthonioz, lycée des métiers de la santé et du social";"OCCITANIE";"ensemble";45;23;25;-2;39;40;47
"0301778V";"Lycée polyvalent Jacques Prévert, lycée des métiers du management et de la gestion";"OCCITANIE";"ensemble";56;44;38;6;57;50;58
"0310006N";"Section d'enseignement professionnel du Lycée polyvalent Edmond Rostand";"OCCITANIE";"ensemble";64;;;;;;
"0310017A";"Lycée polyvalent Paul Mathou - Lycée des métiers des travaux publics et du bâtiment";"OCCITANIE";"ensemble";53;53;47;5;59;61;63
"0310017A";"Lycée polyvalent Paul Mathou - Lycée des métiers des travaux publics et du bâtiment";"OCCITANIE";"dont élèves en voie pro sco";53;53;46;7;58;61;63
"0310017A";"Lycée polyvalent Paul Mathou - Lycée des métiers des travaux publics et du bâtiment";"OCCITANIE";"dont apprentis";;;;;;;
"0310024H";"Lycée polyvalent Pierre d'Aragon";"OCCITANIE";"ensemble";31;51;52;0;54;60;68
"0310028M";"Lycée général et technologique Vincent Auriol";"OCCITANIE";"ensemble";57;57;59;-2;67;81;81
"0310032S";"Lycée général et technologique de Bagatelle";"OCCITANIE";"ensemble";19;52;60;-8;57;61;65
"0310032S";"Lycée général et technologique de Bagatelle";"OCCITANIE";"dont élèves en voie pro sco";26;44;56;-12;44;52;56
"0310032S";"Lycée général et technologique de Bagatelle";"OCCITANIE";"dont apprentis";9;62;62;-1;71;71;76
"0310033T";"Lycée professionnel Elisabeth et Norbert Casteret";"OCCITANIE";"ensemble";47;32;32;0;38;40;42
"0310038Y";"Lycée polyvalent Bellevue";"OCCITANIE";"ensemble";56;36;36;1;40;41;34
"0310039Z";"Lycée général et technologique Marcelin Berthelot";"OCCITANIE";"ensemble";27;61;57;4;63;64;61
"0310039Z";"Lycée général et technologique Marcelin Berthelot";"OCCITANIE";"dont élèves en voie pro sco";28;61;57;5;63;65;61
"0310039Z";"Lycée général et technologique Marcelin Berthelot";"OCCITANIE";"dont apprentis";;;;;;;
"0310040A";"Lycée polyvalent Raymond Naves";"OCCITANIE";"ensemble";61;50;49;2;54;61;61
"0310044E";"Lycée polyvalent Déodat de Séverac";"OCCITANIE";"ensemble";48;57;53;4;61;57;64
"0310044E";"Lycée polyvalent Déodat de Séverac";"OCCITANIE";"dont élèves en voie pro sco";51;55;50;5;59;55;63
"0310044E";"Lycée polyvalent Déodat de Séverac";"OCCITANIE";"dont apprentis";14;73;76;-3;80;73;77
"0310046G";"Lycée polyvalent hôtelier - Lycée des métiers de l'hôtellerie et du tourisme d'Occitanie";"OCCITANIE";"ensemble";42;58;56;2;59;62;67
"0310046G";"Lycée polyvalent hôtelier - Lycée des métiers de l'hôtellerie et du tourisme d'Occitanie";"OCCITANIE";"dont élèves en voie pro sco";45;57;54;3;58;61;67
"0310046G";"Lycée polyvalent hôtelier - Lycée des métiers de l'hôtellerie et du tourisme d'Occitanie";"OCCITANIE";"dont apprentis";0;63;68;-5;70;73;70
"0310047H";"Lycée général et technologique Ozenne";"OCCITANIE";"ensemble";43;59;57;3;58;62;68
"0310047H";"Lycée général et technologique Ozenne";"OCCITANIE";"dont élèves en voie pro sco";44;59;56;3;57;61;68
"0310047H";"Lycée général et technologique Ozenne";"OCCITANIE";"dont apprentis";;;;;;;
"0310051M";"Lycée professionnel Guynemer";"OCCITANIE";"ensemble";58;37;38;-1;42;31;47
"0310052N";"Lycée professionnel Roland Garros - Lycée des métiers de la maintenance mécanique et de la productique";"OCCITANIE";"ensemble";50;38;45;-8;43;42;44
"0310052N";"Lycée professionnel Roland Garros - Lycée des métiers de la maintenance mécanique et de la productique";"OCCITANIE";"dont élèves en voie pro sco";51;37;44;-7;43;41;42
"0310052N";"Lycée professionnel Roland Garros - Lycée des métiers de la maintenance mécanique et de la productique";"OCCITANIE";"dont apprentis";;;;;;;
"0310053P";"Lycée professionnel Urbain Vitry - Lycée des métiers du bâtiment";"OCCITANIE";"ensemble";47;37;37;0;44;43;48
"0310053P";"Lycée professionnel Urbain Vitry - Lycée des métiers du bâtiment";"OCCITANIE";"dont élèves en voie pro sco";48;36;37;-1;42;42;47
"0310053P";"Lycée professionnel Urbain Vitry - Lycée des métiers du bâtiment";"OCCITANIE";"dont apprentis";;;;;;;
"0310054R";"Lycée professionnel Renée Bonnet";"OCCITANIE";"ensemble";51;42;42;0;43;46;48
"0310054R";"Lycée professionnel Renée Bonnet";"OCCITANIE";"dont élèves en voie pro sco";52;41;41;0;43;46;48
"0310054R";"Lycée professionnel Renée Bonnet";"OCCITANIE";"dont apprentis";;;;;;;
"0310056T";"Lycée professionnel Gabriel Péri - Lycée des métiers de la vente et de la mode";"OCCITANIE";"ensemble";46;39;36;3;38;48;47
"0310057U";"Lycée professionnel Hélène Boucher - Lycée des métiers des soins à la personne";"OCCITANIE";"ensemble";48;48;45;3;55;57;61
"0310057U";"Lycée professionnel Hélène Boucher - Lycée des métiers des soins à la personne";"OCCITANIE";"dont élèves en voie pro sco";49;46;42;4;53;54;59
"0310057U";"Lycée professionnel Hélène Boucher - Lycée des métiers des soins à la personne";"OCCITANIE";"dont apprentis";30;65;64;2;65;83;78
"0310088C";"Lycée professionnel -  Lycée des métiers d'art, du bois et de l'ameublement";"OCCITANIE";"ensemble";60;35;37;-1;40;39;42
"0310091F";"Lycée professionnel Stéphane Hessel";"OCCITANIE";"ensemble";52;34;43;-9;40;42;46
"0310091F";"Lycée professionnel Stéphane Hessel";"OCCITANIE";"dont élèves en voie pro sco";62;22;33;-11;28;30;35
"0310091F";"Lycée professionnel Stéphane Hessel";"OCCITANIE";"dont apprentis";23;52;57;-5;59;60;63
"0311092U";"Lycée professionnel Eugène Montel - Lycée des métiers des énergies renouvelables, de l'électrotechnique, maintenance et chaudronnerie industrielle";"OCCITANIE";"ensemble";50;41;44;-3;44;44;44
"0311131L";"Lycée polyvalent privé Sainte-Thérèse";"OCCITANIE";"ensemble";51;47;43;4;53;56;59
"0311133N";"Lycée général et technologique privé Le Caousou";"OCCITANIE";"ensemble";54;;;;;;
"0311134P";"Lycée polyvalent privé Emilie de Rodat";"OCCITANIE";"ensemble";25;38;34;4;48;31;36
"0311145B";"Lycée général et technologique privé Saint-Joseph-La Salle";"OCCITANIE";"ensemble";38;;;;;;
"0311177L";"Lycée technologique privé  Social et technique Limayrac";"OCCITANIE";"ensemble";43;41;53;-12;50;54;59
"0311186W";"Lycée technologique privé Billières";"OCCITANIE";"ensemble";25;55;57;-2;57;52;58
"0311190A";"Lycée professionnel privé Skhole d'Art Toulouse - Lycée des métiers de la coiffure et de l'esthétique";"OCCITANIE";"ensemble";32;52;57;-4;60;65;64
"0311201M";"Lycée technologique privé Myriam";"OCCITANIE";"ensemble";16;52;52;0;60;51;58
"0311213A";"Lycée technologique privé Issec Pigier";"OCCITANIE";"ensemble";26;66;57;9;61;67;67
"0311219G";"Lycée professionnel privé Sainte-Marie Saint-Sernin - Lycée des métiers commerciaux et administratifs";"OCCITANIE";"ensemble";55;43;42;1;32;46;51
"0311240E";"Etablissement régional d'enseignement adapté de Muret";"OCCITANIE";"ensemble";40;23;17;5;42;35;35
"0311323V";"Lycée général et technologique Rive Gauche";"OCCITANIE";"ensemble";53;44;52;-8;38;44;51
"0311324W";"Lycée professionnel du Mirail";"OCCITANIE";"ensemble";44;45;44;1;48;53;52
"0311324W";"Lycée professionnel du Mirail";"OCCITANIE";"dont élèves en voie pro sco";54;29;33;-4;32;43;40
"0311324W";"Lycée professionnel du Mirail";"OCCITANIE";"dont apprentis";10;72;63;10;75;68;74
"0311334G";"Lycée polyvalent Edmond Rostand - Lycée des métiers du bois";"OCCITANIE";"ensemble";43;;;;;;
"0311586F";"Lycée général et technologique Toulouse-Lautrec";"OCCITANIE";"ensemble";44;71;61;11;61;65;59
"0311883D";"Lycée professionnel privé Jasmin Coiffure";"OCCITANIE";"ensemble";59;38;44;-6;40;43;45
"0311902Z";"Lycée général et technologique Stéphane Hessel";"OCCITANIE";"ensemble";23;52;52;0;47;49;53
"0311970Y";"Lycée professionnel privé Sainte-Marie de Nevers";"OCCITANIE";"ensemble";52;33;35;-1;42;41;52
"0311971Z";"Lycée professionnel privé Les Potiers";"OCCITANIE";"ensemble";51;;;;;;
"0312059V";"Lycée professionnel privé Billières";"OCCITANIE";"ensemble";48;;;;;;
"0312061X";"Lycée technologique privé de la photographie";"OCCITANIE";"ensemble";32;;;;;;
"0312062Y";"Lycée professionnel privé ISSEC PIGIER -  Lycée des métiers";"OCCITANIE";"ensemble";50;43;41;2;37;45;55
"0312063Z";"Lycée professionnel privé Castelnouvel";"OCCITANIE";"ensemble";58;27;24;4;27;32;32
"0312064A";"Lycée professionnel privé Myriam";"OCCITANIE";"ensemble";50;32;35;-3;34;42;47
"0312065B";"Lycée professionnel privé Saint-Joseph - La Salle - Lycée des métiers de l'électronique, de la maintenance et productique mécanique";"OCCITANIE";"ensemble";51;65;53;12;65;66;71
"0312093G";"Lycée général et technologique international Victor Hugo";"OCCITANIE";"ensemble";37;53;49;4;58;59;59
"0312191N";"Lycée professionnel privé ORT Maurice Grynfogel";"OCCITANIE";"ensemble";66;47;44;3;53;59;50
"0312267W";"Lycée général et technologique des Arènes";"OCCITANIE";"ensemble";61;33;41;-7;38;25;32
"0312289V";"Lycée général et technologique Pierre-Paul Riquet";"OCCITANIE";"ensemble";57;48;55;-7;44;56;44
"0312290W";"Lycée général et technologique Henri Matisse";"OCCITANIE";"ensemble";37;63;62;2;68;62;59
"0312355S";"Lycée général et technologique privé ORT Maurice Grynfogel";"OCCITANIE";"ensemble";;;;;;;
"0312408Z";"Institut Saliège Balma";"OCCITANIE";"ensemble";59;50;58;-8;61;55;63
"0312579K";"Ecole de production privé Dynaméca";"OCCITANIE";"ensemble";25;37;30;6;43;37;53
"0312686B";"Lycée Polyvalent Saint-Exupéry - Lycée des métiers de la productique et de la maintenance aéronautique";"OCCITANIE";"ensemble";52;52;51;0;59;57;55
"0312686B";"Lycée Polyvalent Saint-Exupéry - Lycée des métiers de la productique et de la maintenance aéronautique";"OCCITANIE";"dont élèves en voie pro sco";57;48;47;1;52;54;50
"0312686B";"Lycée Polyvalent Saint-Exupéry - Lycée des métiers de la productique et de la maintenance aéronautique";"OCCITANIE";"dont apprentis";20;66;66;0;83;71;73
"0312744P";"Lycée polyvalent Jean-Pierre VERNANT";"OCCITANIE";"ensemble";71;;;;;;
"0312746S";"Lycee polyvalent Marie Louise Dissard Françoise";"OCCITANIE";"ensemble";55;34;39;-5;37;43;43
"0312746S";"Lycee polyvalent Marie Louise Dissard Françoise";"OCCITANIE";"dont élèves en voie pro sco";55;34;39;-5;37;43;43
"0312746S";"Lycee polyvalent Marie Louise Dissard Françoise";"OCCITANIE";"dont apprentis";;;;;;;
"0312759F";"Lycée polyvalent Joseph Galliéni - Lycée des métiers de l'automobile, du transport et de la logistique";"OCCITANIE";"ensemble";43;54;47;7;56;60;59
"0312759F";"Lycée polyvalent Joseph Galliéni - Lycée des métiers de l'automobile, du transport et de la logistique";"OCCITANIE";"dont élèves en voie pro sco";44;53;46;7;57;59;57
"0312759F";"Lycée polyvalent Joseph Galliéni - Lycée des métiers de l'automobile, du transport et de la logistique";"OCCITANIE";"dont apprentis";12;60;54;6;50;77;87
"0312822Z";"Lycée polyvalent Charles de Gaulle - Lycée des métiers de l'énergétique et de la domotique";"OCCITANIE";"ensemble";57;48;41;7;54;61;63
"0312822Z";"Lycée polyvalent Charles de Gaulle - Lycée des métiers de l'énergétique et de la domotique";"OCCITANIE";"dont élèves en voie pro sco";57;47;40;7;54;61;63
"0312822Z";"Lycée polyvalent Charles de Gaulle - Lycée des métiers de l'énergétique et de la domotique";"OCCITANIE";"dont apprentis";;;;;;;
"0312915A";"Lycée polyvalent Léon Blum";"OCCITANIE";"ensemble";;;;;;;
"0320002D";"Lycée général et technologique Pardailhan";"OCCITANIE";"ensemble";27;51;58;-7;67;63;71
"0320015T";"Lycée polyvalent Maréchal Lannes";"OCCITANIE";"ensemble";49;39;45;-6;47;55;45
"0320023B";"Lycée polyvalent Alain-Fournier";"OCCITANIE";"ensemble";42;47;41;6;55;47;39
"0320025D";"Lycée polyvalent d'Artagnan - Lycée des métiers";"OCCITANIE";"ensemble";60;31;38;-7;32;48;50
"0320030J";"Lycée professionnel Clément Ader - Lycée des métiers de l'électrotechnique, de la maintenance et de l'usinage";"OCCITANIE";"ensemble";45;50;47;3;52;60;60
"0320030J";"Lycée professionnel Clément Ader - Lycée des métiers de l'électrotechnique, de la maintenance et de l'usinage";"OCCITANIE";"dont élèves en voie pro sco";48;49;43;6;46;60;57
"0320030J";"Lycée professionnel Clément Ader - Lycée des métiers de l'électrotechnique, de la maintenance et de l'usinage";"OCCITANIE";"dont apprentis";;;;;;;
"0320040V";"Lycée professionnel Pardailhan";"OCCITANIE";"ensemble";41;31;38;-7;40;36;43
"0320051G";"Lycée général et technologique privé Oratoire Sainte-Marie";"OCCITANIE";"ensemble";12;47;49;-2;58;53;58
"0320067Z";"Lycée polyvalent Le Garros - Lycée des métiers du génie civil, de la production et du laboratoire";"OCCITANIE";"ensemble";47;54;54;1;69;68;70
"0320652K";"Lycée professionnel privé Oratoire Sainte-Marie";"OCCITANIE";"ensemble";49;;;;;;
"0330003Z";"Lycée général et technologique Grand Air";"NOUVELLE-AQUITAINE";"ensemble";;;;;;;
"0330011H";"Lycée professionnel Anatole de Monzie";"NOUVELLE-AQUITAINE";"ensemble";47;28;33;-5;37;40;42
"0330018R";"Lycée professionnel Léonard de Vinci";"NOUVELLE-AQUITAINE";"ensemble";44;59;51;8;66;67;69
"0330018R";"Lycée professionnel Léonard de Vinci";"NOUVELLE-AQUITAINE";"dont élèves en voie pro sco";48;56;44;12;63;64;69
"0330018R";"Lycée professionnel Léonard de Vinci";"NOUVELLE-AQUITAINE";"dont apprentis";18;67;74;-8;75;78;71
"0330026Z";"Lycée général François Magendie";"NOUVELLE-AQUITAINE";"ensemble";52;;;;;;
"0330027A";"Lycée général et technologique François Mauriac";"NOUVELLE-AQUITAINE";"ensemble";35;65;56;9;71;67;73
"0330028B";"Lycée polyvalent Gustave Eiffel";"NOUVELLE-AQUITAINE";"ensemble";39;61;61;0;64;70;72
"0330028B";"Lycée polyvalent Gustave Eiffel";"NOUVELLE-AQUITAINE";"dont élèves en voie pro sco";47;56;55;2;58;64;66
"0330028B";"Lycée polyvalent Gustave Eiffel";"NOUVELLE-AQUITAINE";"dont apprentis";29;65;67;-2;69;76;78
"0330029C";"Lycée général et technologique Nicolas Brémontier";"NOUVELLE-AQUITAINE";"ensemble";49;54;55;-1;58;64;65
"0330029C";"Lycée général et technologique Nicolas Brémontier";"NOUVELLE-AQUITAINE";"dont élèves en voie pro sco";50;55;56;-1;59;65;65
"0330029C";"Lycée général et technologique Nicolas Brémontier";"NOUVELLE-AQUITAINE";"dont apprentis";;;;;;;
"0330031E";"Lycée professionnel Toulouse-Lautrec - Lycée des métiers d'art";"NOUVELLE-AQUITAINE";"ensemble";53;39;36;4;50;52;49
"0330031E";"Lycée professionnel Toulouse-Lautrec - Lycée des métiers d'art";"NOUVELLE-AQUITAINE";"dont élèves en voie pro sco";56;36;31;4;47;48;47
"0330031E";"Lycée professionnel Toulouse-Lautrec - Lycée des métiers d'art";"NOUVELLE-AQUITAINE";"dont apprentis";;;;;;;
"0330032F";"Lycée professionnel Nicolas Bremontier";"NOUVELLE-AQUITAINE";"ensemble";54;38;37;0;40;47;49
"0330033G";"Lycée professionnel des Menuts";"NOUVELLE-AQUITAINE";"ensemble";53;39;36;3;40;38;43
"0330060L";"Lycée professionnel Flora Tristan - Lycée des métiers des services et de l'aéronautique";"NOUVELLE-AQUITAINE";"ensemble";49;37;41;-4;43;42;46
"0330060L";"Lycée professionnel Flora Tristan - Lycée des métiers des services et de l'aéronautique";"NOUVELLE-AQUITAINE";"dont élèves en voie pro sco";52;34;39;-5;38;38;41
"0330060L";"Lycée professionnel Flora Tristan - Lycée des métiers des services et de l'aéronautique";"NOUVELLE-AQUITAINE";"dont apprentis";9;62;55;7;81;71;81
"0330069W";"Lycée professionnel La Morlette : Lycée des métiers des soins et des services à la personne";"NOUVELLE-AQUITAINE";"ensemble";44;39;42;-3;47;50;57
"0330076D";"Lycée professionnel Charles Péguy - Lycée des métiers de l'industrie et de l'artisanat";"NOUVELLE-AQUITAINE";"ensemble";42;43;46;-3;55;55;59
"0330076D";"Lycée professionnel Charles Péguy - Lycée des métiers de l'industrie et de l'artisanat";"NOUVELLE-AQUITAINE";"dont élèves en voie pro sco";48;37;36;1;50;57;64
"0330076D";"Lycée professionnel Charles Péguy - Lycée des métiers de l'industrie et de l'artisanat";"NOUVELLE-AQUITAINE";"dont apprentis";19;56;67;-11;65;50;50
"0330082K";"Lycée professionnel Sud Gironde - Lycée des métiers de l'industrie et de l'habitat du Sud-Gironde";"NOUVELLE-AQUITAINE";"ensemble";55;40;40;0;47;43;56
